k[h/Mpc] d^2P/dk^2(z=0.00) d^2P/dk^2(z=0.08) d^2P/dk^2(z=0.17) d^2P/dk^2(z=0.29) d^2P/dk^2(z=0.42) d^2P/dk^2(z=0.59) d^2P/dk^2(z=0.80) d^2P/dk^2(z=1.08) d^2P/dk^2(z=1.45) d^2P/dk^2(z=2.00) 
0.001268 -467159424.227 -774412874.558 -557477857.509 -742690963.219 -525571348.598 -586240197.443 -237076656.115 -81032761.3728 -99190113.9989 -113652877.036 
0.0012936 -564073883.187 -47666719.4432 -356150980.639 -125362220.145 -15874192.4752 -109494681.697 -352822671.801 -126474888.023 -35401670.5764 -18139654.98 
0.0013197 -716710350.11 -1205378240.64 -615789106.495 -784183391.358 -797836099.765 -563546956.735 -138144924.703 -537650740.394 -316391390.294 -235722069.847 
0.0013464 -280446871.382 34940891.4169 -447513137.282 -45803078.7456 -60137170.3196 62486244.8807 -424409265.224 150797243.098 -10374273.8717 24217020.4978 
0.0013736 -387103508.979 -3161885.75388 112167910.516 6664815.40126 -163078773.727 -262454104.973 244265378.212 -230859772.673 -125180950.743 -64146075.1716 
0.0014013 -274478980.168 -1013617443.16 -585916863.562 -875536380.744 -415731732.356 -340596090.448 -476747408.737 -167313108.929 55032279.7616 -114786874.221 
0.0014296 -887804376.405 -101774801.565 -544221563.025 -98015900.1518 -209986429.033 -334346572.366 -215762786.975 -166660126.237 -454976785.118 -52516648.8294 
0.0014585 -580466622.307 -1031314337.13 -574486056.12 -655948417.267 -652820316.107 -163042533.695 -428052449.326 -166436834.234 -27253027.8031 -286146696.367 
0.001488 445958383.746 523400977.411 393435433.801 216813583.672 323664244.177 -47980224.6534 262449016.322 -108161717.496 264961123.922 338677353.396 
0.001518 -1458063082.58 -1062031445.57 -1345998418.11 -836480198.143 -811419716.489 -677601871.659 -473236867.541 -141758910.444 -696530031.738 -451873092.187 
0.0015487 22752788.9817 -386086158.13 276029612.823 -140203441.619 -131513028.169 -25890555.2874 -229149596.757 -299260930.234 379764562.552 -33740268.18 
0.00158 -311814727.383 75578084.1286 -555345641.821 -94367702.6986 -157366094.964 -50732470.3955 -26456450.4718 -65843181.6769 -426327576.423 163931285.699 
0.0016119 -936165675.772 -1097994859.03 -577630432.164 -876843728.207 -639514481.799 -545916521.492 -401228691.586 -168835734.685 -79214833.3449 -416774244.748 
0.0016445 54064873.53 251644353.509 -13169943.3488 252525484.618 123673646.457 -142205630.28 59683844.3225 -60350852.358 47486122.1684 202139324.485 
0.0016777 -627537326.248 -914515075.951 -512711141.42 -794528445.777 -533516284.012 -102503575.75 -477114370.281 -236186363.984 -274082655.157 -188296548.408 
0.0017116 -599083973.373 -243097951.438 -506589528.354 -83628393.3086 -312923020.933 -514871067.009 -85104740.2212 -232519170.838 -98472026.0745 -98887322.471 
0.0017462 138011638.38 -38250724.7098 111671405.528 -189951808.646 97046292.9018 140250277.309 6087579.50753 -1095230.44159 90726043.1714 -31597605.043 
0.0017814 -1024929849.3 -871745053.859 -851835498.978 -633997743.611 -597921955.042 -565161061.601 -449926545.006 -287734925.335 -377781185.322 -62994152.1477 
0.0018174 -194834992.68 -102326263.538 -190885629.511 -73711937.9519 -233984951.76 -90159816.0278 -99138478.1611 23902509.1089 27257554.1387 -77671803.2077 
0.0018541 -607217188.153 -746573519.157 -414006731.75 -584572864.475 -325272561.075 -333261710.311 -262235929.452 -340829150.399 -203921661.405 -147724068.043 
0.0018916 -210502357.268 -136697077.54 -389537853.927 -76854225.2715 -275329747.052 -112427289.908 -103368630.174 -95290147.3183 -25357646.5128 -77629782.1414 
0.0019298 -678109978.343 -485148858.188 -237144657.047 -434002972.016 -222090246.147 -327006947.014 -303251436.246 -151759532.938 -107197430.572 -2340245.6842 
0.0019688 -393064392.134 -403153336.417 -639597679.685 -408153437.463 -439304354.331 -342532816.832 -193483310.985 -179485434.916 -271569499.557 -179059413.538 
0.0020086 -110007856.837 -239715641.179 164111758.897 -29169915.7889 84658474.7759 33479901.4026 35753371.2154 37777762.1071 123708967.243 83920207.6565 
0.0020491 -558893186.298 -475794499.794 -758422375.844 -557646181.171 -540006407.035 -333817541.824 -390963522.935 -333705288.457 -184162925.591 -173358949.166 
0.0020905 -901722493.136 -636860852.701 -450454713.272 -464526749.501 -365619549.573 -462328279.522 -269570032.846 -202482142.918 -294768700.249 -166343732.068 
0.0021328 426906725.033 70113829.9374 112028772.535 189906271.546 43652858.9091 180832140.547 115429814.547 70903615.9947 165836383.217 106281600.397 
0.0021758 -1252391988.04 -826168758.435 -877418468.13 -831173177.075 -623621192.039 -672291139.813 -526484790.374 -355988618.269 -300467850.774 -248824593.475 
0.0022198 218215909.986 -15890064.8866 59328347.0704 81429519.6374 52249464.2407 161107076.798 16001548.1101 41152537.7212 9905768.60226 51273314.5165 
